City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Onda,ES,2021-09-19 04:08:52,39.9667,-0.25,69.3,80,0,7.45
59,Upernavik,GL,2021-09-19 04:08:53,72.7868,-56.1549,20.44,62,18,5.79
60,Samana,DO,2021-09-19 04:08:53,19.2056,-69.3369,77.31,86,24,6.58
61,Lata,PT,2021-09-19 04:08:54,40.1629,-8.3327,59.81,94,7,2.84
62,Yaan,NG,2021-09-19 04:08:54,7.3833,8.5667,72.16,98,86,5.06
63,Nantucket,US,2021-09-19 04:05:48,41.2835,-70.0995,68.97,94,9,10.65
64,Penzance,GB,2021-09-19 04:08:55,50.1186,-5.5371,56.77,88,100,13.13
65,Victoria,HK,2021-09-19 04:07:44,22.2855,114.1577,91.96,79,59,1.01
66,Vila Franca Do Campo,PT,2021-09-19 04:08:56,37.7167,-25.4333,66.61,71,78,5.68
67,Nanortalik,GL,2021-09-19 04:08:56,60.1432,-45.2371,41.36,90,100,7.81
68,Ushuaia,AR,2021-09-19 04:08:57,-54.8,-68.3,37.06,93,20,6.91
69,Qaanaaq,GL,2021-09-19 04:08:57,77.484,-69.3632,13.84,76,100,6.46
70,Mount Gambier,AU,2021-09-19 04:08:58,-37.8333,140.7667,57.11,88,90,21.85
71,Lompoc,US,2021-09-19 04:08:58,34.6391,-120.4579,60.57,83,1,3.44
72,Provideniya,RU,2021-09-19 04:08:59,64.3833,-173.3,46.92,82,10,3.67
73,Lavrentiya,RU,2021-09-19 04:08:59,65.5833,-171.0,35.87,98,100,11.56
74,Tuatapere,NZ,2021-09-19 04:09:00,-46.1333,167.6833,50.83,74,100,4.27
75,Bukama,CD,2021-09-19 04:09:00,-9.2,25.85,72.86,71,99,1.9
76,East London,ZA,2021-09-19 04:09:01,-33.0153,27.9116,59.49,78,79,23.55
77,Krasnouralsk,RU,2021-09-19 04:09:01,58.3638,60.0407,36.64,68,88,11.36
78,Yenagoa,NG,2021-09-19 04:09:02,4.9247,6.2642,74.61,95,99,2.08
79,Berlevag,NO,2021-09-19 04:09:02,70.8578,29.0864,41.02,78,0,19.8
80,Quatre Cocos,MU,2021-09-19 04:09:03,-20.2078,57.7625,71.1,79,58,15.23
81,Qaqortoq,GL,2021-09-19 04:09:03,60.7167,-46.0333,39.7,98,100,0.94
82,Lasem,ID,2021-09-19 04:09:04,-6.6922,111.4527,88.72,54,22,8.01
83,Talnakh,RU,2021-09-19 04:09:04,69.4865,88.3972,40.93,97,100,4.03
84,Antofagasta,CL,2021-09-19 04:09:05,-23.65,-70.4,56.48,84,100,2.84
85,Mar Del Plata,AR,2021-09-19 04:08:03,-38.0023,-57.5575,51.82,100,90,6.91
86,Yar-Sale,RU,2021-09-19 04:09:06,66.8333,70.8333,34.84,100,100,17.74
87,Hermanus,ZA,2021-09-19 04:09:06,-34.4187,19.2345,56.89,76,2,5.97
88,Cidreira,BR,2021-09-19 04:09:07,-30.1811,-50.2056,63.61,94,14,4.36
89,Severo-Kurilsk,RU,2021-09-19 04:09:07,50.6789,156.125,53.29,89,100,15.14
90,Faanui,PF,2021-09-19 04:09:08,-16.4833,-151.75,78.4,75,45,18.75
91,Panaba,MX,2021-09-19 04:09:08,21.2833,-88.2667,77.59,83,52,7.76
92,Codrington,AU,2021-09-19 04:09:09,-38.2667,141.9667,53.8,92,100,19.46
93,Nyagan,RU,2021-09-19 04:09:09,62.1406,65.3936,33.4,97,100,15.97
94,Ferme-Neuve,CA,2021-09-19 04:09:10,46.7001,-75.4493,46.36,79,56,3.94
95,Snasa,NO,2021-09-19 04:09:10,64.2457,12.3778,39.92,89,78,5.88
96,Hede,CN,2021-09-19 04:09:11,33.7681,120.2517,80.58,67,38,13.91
97,Fortuna,US,2021-09-19 04:09:11,40.5982,-124.1573,61.41,73,75,0.0
98,Mabaruma,GY,2021-09-19 04:09:11,8.2,-59.7833,74.57,91,20,2.06
99,Thompson,CA,2021-09-19 04:07:16,55.7435,-97.8558,55.29,63,100,5.28
100,Grindavik,IS,2021-09-19 04:09:12,63.8424,-22.4338,46.87,81,75,19.57
101,Hobart,AU,2021-09-19 04:05:50,-42.8794,147.3294,63.27,56,40,8.01
102,Meulaboh,ID,2021-09-19 04:07:15,4.1363,96.1285,77.61,87,99,6.58
103,Katsuura,JP,2021-09-19 04:09:13,35.1333,140.3,80.71,65,89,25.23
104,Aransas Pass,US,2021-09-19 04:09:14,27.9095,-97.15,82.98,85,1,1.01
105,Luwuk,ID,2021-09-19 04:09:14,-0.9516,122.7875,84.04,65,100,4.92
106,Tadine,NC,2021-09-19 04:09:14,-21.55,167.8833,72.05,58,28,16.87
107,Mount Hagen,PG,2021-09-19 04:09:15,-5.8581,144.2274,66.65,93,92,2.13
108,Clyde River,CA,2021-09-19 04:09:15,70.4692,-68.5914,29.23,83,99,3.0
109,Sawtell,AU,2021-09-19 04:09:16,-30.3833,153.1,73.18,52,75,10.36
110,Kodiak,US,2021-09-19 04:09:16,57.79,-152.4072,48.31,66,0,3.98
111,Puerto Ayora,EC,2021-09-19 04:09:17,-0.7393,-90.3518,69.55,92,38,8.01
112,Isangel,VU,2021-09-19 04:09:17,-19.55,169.2667,74.75,64,35,14.72
113,Tiksi,RU,2021-09-19 04:09:18,71.6872,128.8694,34.61,72,100,18.07
114,Cantaura,VE,2021-09-19 04:09:18,9.3057,-64.3584,74.41,70,63,2.98
115,Northam,GB,2021-09-19 04:09:19,51.0333,-4.2167,57.09,97,92,5.48
116,Caravelas,BR,2021-09-19 04:09:19,-17.7125,-39.2481,68.92,89,8,5.66
117,Ikalamavony,MG,2021-09-19 04:09:20,-21.15,46.5833,61.68,68,35,6.31
118,Douentza,ML,2021-09-19 04:09:21,14.9951,-2.9517,85.17,52,40,10.49
119,Tondano,ID,2021-09-19 04:09:21,1.3038,124.9112,84.29,69,89,3.94
120,Komsomolskiy,UZ,2021-09-19 04:09:22,40.4272,71.7189,79.52,22,0,6.91
