City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
99,Sao Filipe,CV,2021-09-24 20:05:56,14.8961,-24.4956,78.66,74,75,10.49,broken clouds
100,Bethel,US,2021-09-24 20:05:56,41.3712,-73.414,74.48,57,1,4.61,clear sky
101,Mar Del Plata,AR,2021-09-24 20:04:06,-38.0023,-57.5575,62.01,55,20,17.0,few clouds
102,Apostolove,UA,2021-09-24 20:05:57,47.66,33.7137,50.43,94,53,10.49,broken clouds
103,Maldonado,UY,2021-09-24 20:01:26,-34.6667,-54.9167,56.23,79,38,11.16,scattered clouds
104,Richards Bay,ZA,2021-09-24 20:05:57,-28.783,32.0377,65.95,89,93,4.38,overcast clouds
105,Prata,BR,2021-09-24 20:05:58,-19.3072,-48.9242,95.05,16,88,6.73,overcast clouds
106,Warri,NG,2021-09-24 20:05:58,5.5167,5.75,77.38,88,100,3.4,overcast clouds
107,High Level,CA,2021-09-24 20:05:59,58.5169,-117.136,60.17,58,100,5.7,overcast clouds
108,Songea,TZ,2021-09-24 20:05:59,-10.6833,35.65,66.81,55,63,1.28,broken clouds
109,Longyearbyen,SJ,2021-09-24 20:02:16,78.2186,15.6401,42.64,81,75,5.75,broken clouds
110,Hilo,US,2021-09-24 20:06:00,19.7297,-155.09,84.27,69,20,9.22,few clouds
111,San Quintin,MX,2021-09-24 20:06:01,30.4833,-115.95,75.2,63,6,11.14,clear sky
112,Iqaluit,CA,2021-09-24 20:06:01,63.7506,-68.5145,32.7,80,7,8.99,clear sky
113,Dehloran,IR,2021-09-24 20:06:02,32.6941,47.2679,86.97,21,0,3.67,clear sky
114,Amapa,BR,2021-09-24 20:06:03,1.0,-52.0,84.42,49,100,0.89,overcast clouds
115,Bulungu,CD,2021-09-24 20:06:03,-4.55,18.6,74.91,72,55,1.83,broken clouds
116,Iranshahr,IR,2021-09-24 20:06:05,27.2025,60.6848,88.84,40,58,3.78,broken clouds
117,Alyangula,AU,2021-09-24 20:06:05,-13.8483,136.4192,73.58,74,6,8.84,clear sky
118,Mecca,SA,2021-09-24 20:02:52,21.4267,39.8261,86.31,51,22,5.17,few clouds
119,Kathmandu,NP,2021-09-24 20:06:06,27.7167,85.3167,70.02,94,75,2.3,light rain
120,Torbay,CA,2021-09-24 20:06:06,47.6666,-52.7314,52.29,76,21,4.0,few clouds
121,Lavrentiya,RU,2021-09-24 20:06:07,65.5833,-171.0,31.91,95,100,25.86,snow
122,Tondano,ID,2021-09-24 20:06:07,1.3038,124.9112,66.29,94,94,2.53,overcast clouds
123,Vila Franca Do Campo,PT,2021-09-24 20:06:08,37.7167,-25.4333,73.2,70,99,4.5,overcast clouds
124,Panaba,MX,2021-09-24 20:06:08,21.2833,-88.2667,85.35,69,100,8.59,overcast clouds
125,Ayagoz,KZ,2021-09-24 20:06:09,47.9714,80.4392,31.28,67,7,8.48,clear sky
126,Metu,ET,2021-09-24 20:06:09,8.3,35.5833,58.57,98,100,2.39,overcast clouds
127,Pombas,CV,2021-09-24 20:06:10,17.1503,-25.0201,76.78,75,68,11.39,broken clouds
128,New Norfolk,AU,2021-09-24 20:06:10,-42.7826,147.0587,38.91,72,9,1.01,clear sky
129,Dalvik,IS,2021-09-24 20:06:11,65.9702,-18.5286,36.7,78,94,6.04,overcast clouds
130,Dikson,RU,2021-09-24 20:06:11,73.5069,80.5464,35.64,84,77,16.24,broken clouds
131,Singaraja,ID,2021-09-24 20:06:12,-8.112,115.0882,77.97,82,96,1.83,overcast clouds
132,Castres,FR,2021-09-24 20:06:12,43.5833,2.1667,69.19,71,0,4.61,clear sky
133,Suez,EG,2021-09-24 20:06:13,29.9737,32.5263,71.19,60,0,8.86,clear sky
134,Ribeira Grande,PT,2021-09-24 20:06:13,38.5167,-28.7,72.0,73,40,14.97,scattered clouds
135,La Reforma,MX,2021-09-24 20:06:14,25.0833,-108.05,96.15,58,11,8.77,few clouds
136,Coihaique,CL,2021-09-24 20:05:29,-45.5752,-72.0662,64.35,42,40,5.75,scattered clouds
137,Lorengau,PG,2021-09-24 20:06:15,-2.0226,147.2712,81.41,76,17,7.72,few clouds
138,Bintulu,MY,2021-09-24 20:06:15,3.1667,113.0333,75.94,89,93,3.83,overcast clouds
139,Kaitangata,NZ,2021-09-24 20:06:16,-46.2817,169.8464,53.87,59,6,13.44,clear sky
140,Swakopmund,NA,2021-09-24 20:06:16,-22.6833,14.5333,55.98,86,2,1.99,clear sky
141,Kucura,RS,2021-09-24 20:06:17,45.5195,19.5838,63.23,66,6,4.88,clear sky
142,Gobabis,NA,2021-09-24 20:06:17,-22.45,18.9667,71.96,13,0,11.27,clear sky
143,Hobart,AU,2021-09-24 20:02:41,-42.8794,147.3294,39.25,77,12,4.0,few clouds
144,Puerto Madryn,AR,2021-09-24 20:03:58,-42.7692,-65.0385,75.85,26,11,25.37,few clouds
145,Katsuura,JP,2021-09-24 20:06:18,35.1333,140.3,73.11,77,100,14.76,overcast clouds
146,Nemuro,JP,2021-09-24 20:06:19,43.3236,145.575,52.84,79,3,13.09,clear sky
147,Andros Town,BS,2021-09-24 20:06:19,24.7,-77.7667,84.16,66,79,6.46,moderate rain
148,Vardo,NO,2021-09-24 20:06:20,70.3705,31.1107,48.4,93,75,18.41,broken clouds
149,Talnakh,RU,2021-09-24 20:06:20,69.4865,88.3972,32.47,71,0,2.01,clear sky
150,Atbasar,KZ,2021-09-24 20:06:21,51.8,68.3333,40.64,51,8,6.06,clear sky
151,Ilulissat,GL,2021-09-24 20:06:22,69.2167,-51.1,26.62,54,75,2.3,broken clouds
152,Touros,BR,2021-09-24 20:03:55,-5.1989,-35.4608,81.5,74,41,17.07,scattered clouds
153,Gat,IL,2021-09-24 20:06:22,31.61,34.7642,72.91,59,0,2.1,clear sky
154,Qaqortoq,GL,2021-09-24 20:06:23,60.7167,-46.0333,41.5,49,2,9.98,clear sky
155,Longyan,CN,2021-09-24 20:06:24,25.1072,117.0225,71.49,95,1,1.72,clear sky
156,Kholmogory,RU,2021-09-24 20:06:24,64.2229,41.656,50.11,94,100,8.86,overcast clouds
157,Lima,PE,2021-09-24 20:06:25,-12.0432,-77.0282,65.39,92,20,1.99,few clouds
158,Romitan,UZ,2021-09-24 20:06:25,39.9343,64.3814,64.35,48,0,4.61,clear sky
159,Norman Wells,CA,2021-09-24 20:06:25,65.282,-126.8329,38.84,90,100,6.35,overcast clouds
160,Alice Springs,AU,2021-09-24 20:03:52,-23.7,133.8833,49.55,34,72,0.0,broken clouds
161,Butaritari,KI,2021-09-24 20:06:26,3.0707,172.7902,83.61,74,13,14.07,few clouds
162,Pangody,RU,2021-09-24 20:06:27,65.85,74.4859,31.57,80,0,7.29,clear sky
163,Laguna,US,2021-09-24 20:06:27,38.421,-121.4238,99.21,31,1,1.99,haze
164,Myitkyina,MM,2021-09-24 20:06:28,25.3833,97.4,74.98,86,2,1.9,clear sky
165,Abbeville,FR,2021-09-24 20:06:28,50.1,1.8333,62.56,96,47,4.81,scattered clouds
166,Nador,MA,2021-09-24 20:06:29,35.174,-2.9287,70.05,100,40,9.22,scattered clouds
167,Mokhsogollokh,RU,2021-09-24 20:06:29,61.4681,128.9203,38.41,96,100,9.24,overcast clouds
168,El Paujil,CO,2021-09-24 20:06:30,1.5701,-75.3286,81.88,69,41,3.53,scattered clouds
169,Rawson,AR,2021-09-24 20:06:31,-43.3002,-65.1023,78.39,23,42,27.6,scattered clouds
170,Preobrazheniye,RU,2021-09-24 20:06:32,42.9019,133.9064,55.45,88,78,4.34,broken clouds
171,Aklavik,CA,2021-09-24 20:06:33,68.2191,-135.0107,31.39,88,100,16.31,light snow
172,Eyl,SO,2021-09-24 20:06:33,7.9803,49.8164,77.31,77,21,15.35,few clouds
173,Tarakan,ID,2021-09-24 20:06:34,3.3,117.6333,78.19,85,93,6.78,overcast clouds
174,Praia,CV,2021-09-24 20:06:34,14.9215,-23.5087,81.14,74,75,13.8,broken clouds
